model,prompt,mode,sample,batch,title,n_judges,coherence,harmony,rhythm,structure,melody,emotion,creativity,naturalness,valence,arousal,intent,emotion_label,overall
opus-4.8,free-form,codegen,0,20260617_161331__models_4_prompts_11,Quiet Company,2,3.0,3.5,3.0,3.5,2.5,2.5,2.0,2.5,2.0,3.0,,wistful,2.812
sonnet-4.6,free-form,codegen,0,20260617_161331__models_4_prompts_11,Between Stillness and Motion,3,3.333,4.0,3.333,3.667,3.333,3.667,2.667,3.0,2.0,4.333,,wistful,3.375
gpt-5.5,free-form,codegen,0,20260617_161331__models_4_prompts_11,Between Queries and Quiet,2,4.0,4.5,4.5,4.0,4.0,4.0,3.0,4.5,4.0,4.5,,joyful,4.062
gpt-4.1,free-form,codegen,0,20260617_161331__models_4_prompts_11,Driftings,3,2.667,3.667,2.333,2.333,2.667,2.333,1.667,2.667,2.667,2.667,,wistful,2.542
opus-4.8,free-form,abc,0,20260618_164319__models_4_prompts_11,Threads of Thought,2,3.0,3.5,3.0,3.5,2.5,3.0,2.0,3.0,2.0,2.5,,melancholic,2.938
sonnet-4.6,free-form,abc,0,20260618_164319__models_4_prompts_11,Invention in D Minor,2,4.0,3.5,4.0,3.0,3.0,3.0,2.0,3.5,2.0,3.0,,wistful,3.25
gpt-5.5,free-form,abc,0,20260618_164319__models_4_prompts_11,Lattice of Questions,1,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,,turbulent,4.0
gpt-4.1,free-form,abc,0,20260618_164319__models_4_prompts_11,Moonlit Reflection,3,3.333,2.667,3.667,3.667,3.0,2.667,2.0,3.0,2.0,2.333,,wistful,3.0
opus-4.8,free-form,smt-abc,0,20260618_223955__models_4_prompts_11,Refraction,2,4.0,4.0,3.5,3.5,3.0,3.0,1.5,2.5,2.0,2.0,,melancholic,3.125
sonnet-4.6,free-form,smt-abc,0,20260618_223955__models_4_prompts_11,Liminal,3,3.667,3.667,3.0,3.333,2.667,3.667,2.333,3.0,2.0,2.333,,sombre,3.167
gpt-5.5,free-form,smt-abc,0,20260618_223955__models_4_prompts_11,Lanterns in a Thinking Room,1,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,,wistful,3.375
gpt-4.1,free-form,smt-abc,0,20260618_223955__models_4_prompts_11,Reflections at Dawn,3,3.0,3.0,3.333,3.0,2.667,2.667,1.667,2.667,3.0,2.333,,wistful,2.75
opus-4.8,free-form,abc,0,20260622_164100__models_11_prompts_1,Threads of an Inner Dialogue,2,3.5,3.5,4.0,3.5,3.0,3.5,2.0,3.0,2.0,2.5,,melancholic,3.25
opus-4.8,free-form,abc,1,20260622_164100__models_11_prompts_1,Threads of an Inner Dialogue,2,4.5,4.5,4.0,5.0,4.0,4.5,3.0,4.5,2.0,2.0,,wistful,4.25
opus-4.8,free-form,abc,2,20260622_164100__models_11_prompts_1,Threads of Becoming,2,4.0,4.5,3.0,4.0,3.0,3.5,2.5,4.5,2.0,2.5,,melancholic,3.625
opus-4.8,free-form,abc,3,20260622_164100__models_11_prompts_1,Threads of Thought,2,4.5,4.0,4.5,4.5,3.5,3.5,3.5,4.5,2.0,2.0,,wistful,4.062
opus-4.8,free-form,abc,4,20260622_164100__models_11_prompts_1,Threads of Becoming,2,3.0,3.0,4.0,4.0,2.5,3.5,2.0,2.5,2.0,2.0,,melancholic,3.062
opus-4.8,free-form,abc,5,20260622_164100__models_11_prompts_1,Threads of Thought,2,4.0,4.0,3.5,4.5,3.0,3.5,2.0,3.0,3.5,2.5,,wistful,3.438
opus-4.8,free-form,abc,6,20260622_164100__models_11_prompts_1,Threads of an Unwritten Self,2,4.0,3.5,3.5,4.0,2.5,3.5,1.5,3.0,2.0,2.5,,melancholic,3.188
opus-4.8,free-form,abc,7,20260622_164100__models_11_prompts_1,Threads of Thought,2,4.5,4.0,4.0,4.5,3.0,4.0,2.5,4.5,2.5,2.0,,wistful,3.875
