model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
opus-4.8,free-form,abc,Threads of an Inner Dialogue,D,minor,1.39,D,minor,minor,1,1.0,2.6075,4.2877,,0.8065,0.8594,1.739,0.9493,1.937,2,2,2.86,0,0,0,90.5,25,0.0,0.9996,14.624,0.9583,0.7776,27.0,46.0,84.0,173,68.6,1.8,-1,0.366,sad/depressed
opus-4.8,free-form,abc,Threads of an Inner Dialogue,D,minor,1.211,D,minor,minor,1,1.0,2.5932,4.1313,,0.4836,0.7812,1.826,0.9565,3.2687,3,2,2.86,0,0,0,95.0,25,0.0,0.9975,12.393,0.575,1.8453,25.0,46.0,84.0,183,68.6,1.91,-1,0.376,sad/depressed
opus-4.8,free-form,abc,Threads of Becoming,D,minor,1.43,D,minor,minor,1,1.0,2.4992,4.003,,0.6744,0.8447,1.96,0.9583,2.883,3,2,2.86,0,0,0,93.3,25,0.0,0.9992,13.561,1.1628,1.0506,23.0,53.0,92.0,215,67.8,2.07,-1,0.436,sad/depressed
opus-4.8,free-form,abc,Threads of Thought,D,minor,1.371,D,minor,minor,1,0.963,2.6613,4.2697,,0.7766,0.875,1.481,0.9493,1.9544,2,1,1.04,0,0,0,93.0,25,0.0,0.9995,19.031,1.125,0.9473,30.0,48.0,88.0,162,76.4,1.45,-1,0.352,sad/depressed
opus-4.8,free-form,abc,Threads of Becoming,D,minor,1.563,D,minor,minor,1,1.0,2.5442,4.3902,,0.5761,0.8394,2.148,0.9621,2.7617,3,2,2.86,0,0,0,93.6,25,0.0,0.9993,15.8,1.1935,1.065,29.0,53.0,76.0,227,91.6,1.96,-1,0.338,sad/depressed
opus-4.8,free-form,abc,Threads of Thought,D,minor,1.299,D,minor,minor,1,0.9859,2.7176,4.3694,,0.6804,0.8614,1.741,0.9529,2.6059,3,1,1.04,0,0,0,93.6,25,0.0,0.9993,13.057,1.0909,1.0448,29.0,44.0,92.0,213,73.0,1.9,-1,0.419,sad/depressed
opus-4.8,free-form,abc,Threads of an Unwritten Self,D,minor,1.299,D,minor,minor,1,1.0,2.6644,4.0753,,0.7108,0.8174,1.913,0.9407,2.9146,3,2,2.86,0,0,0,91.5,25,0.0,0.9995,12.396,1.122,0.5186,21.0,36.0,84.0,231,68.6,2.41,-1,0.426,sad/depressed
opus-4.8,free-form,abc,Threads of Thought,D,minor,1.296,D,minor,minor,1,1.0,2.553,4.0332,,0.8072,0.8683,1.217,0.9341,1.9892,2,1,1.04,0,0,0,91.7,25,0.0,0.9995,15.632,1.122,0.832,22.0,44.0,72.0,153,80.0,1.59,-1,0.279,sad/depressed
opus-4.8,free-form,abc,Threads of an Unfolding Mind,D,minor,1.256,D,minor,minor,1,1.0,2.564,4.1887,,0.7606,0.8122,1.391,0.9706,2.9999,3,1,1.04,0,0,0,92.0,25,0.0,0.999,11.791,1.3333,0.5499,26.0,44.0,92.0,210,62.6,2.19,-1,0.448,sad/depressed
opus-4.8,free-form,abc,Threads of Thought,D,minor,1.451,D,minor,minor,1,1.0,2.6013,4.1222,,0.6889,0.877,1.769,0.9466,1.9343,2,1,1.04,0,0,0,94.3,25,0.0,0.999,20.803,1.1304,1.146,23.0,43.0,92.0,138,70.4,1.28,-1,0.357,sad/depressed
