model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
grok-4.3,free-form,codegen,Emergent Reflections,C,major,1.274,,,major,,1.0,2.4613,3.281,,0.5833,0.7778,0.067,1.0,2.5263,2,1,1.04,88.0,36,0.0,0.9999,9.07,0.785,1.0166,11.0,33.0,120.0,120,40.0,1.5,1,0.532,happy/excited
opus-4.8-thinking,free-form,codegen,Quiet Light Through Glass,E,minor,1.498,,,minor,,0.9481,2.8443,4.4577,,0.8571,0.9658,3.25,0.9312,3.5556,4,3,7.94,37.8,46,0.0,1.0,13.961,0.9412,1.4689,25.0,43.0,120.0,73,18.0,2.03,-1,0.585,angry/tense
gpt-4.1,free-form,codegen,Refractions,A,major,0.98,,,major,,1.0,2.5809,4.2105,,0.7857,0.902,1.25,0.8994,1.7885,2,1,1.04,52.2,71,0.0,0.9999,17.622,0.9444,0.9368,23.0,41.0,120.0,80,26.2,1.52,1,0.534,happy/excited
deepseek-v4-pro,free-form,codegen,Whispers of Dawn,A,major,1.093,,,major,,1.0,2.6077,4.2734,,0.6897,0.8864,1.0,0.8871,2.6667,3,2,3.2,67.7,36,0.0,0.9998,19.968,1.025,1.3832,23.0,50.0,120.0,58,18.8,1.55,1,0.536,happy/excited
qwen3-max,free-form,codegen,Digital Rain,C,major,0.493,,,major,,0.7703,3.1426,4.1254,,0.7241,0.9272,3.0,0.9277,1.6208,3,2,4.69,47.7,10,0.0,1.0,7.849,1.0755,1.3628,23.0,27.0,120.0,74,30.0,1.23,1,0.505,happy/excited
opus-4.8,free-form,codegen,Quiet Persistence,D,minor,0.895,,,minor,,0.9781,2.8085,4.5977,,0.5464,0.9356,2.25,0.9755,3.4118,3,2,4.69,56.8,52,0.0,1.0,23.126,0.6667,1.3069,30.0,55.0,120.0,171,34.0,2.51,-1,0.633,angry/tense
sonnet-4.6,free-form,codegen,Liminal,E,minor,1.21,,,minor,,0.9688,2.8348,4.7393,,0.3587,0.7108,1.6,0.9198,3.8594,3,2,4.69,53.2,80,0.0,0.9999,16.825,0.6667,1.4773,37.0,58.0,120.0,186,32.0,2.91,-1,0.672,angry/tense
llama-4-maverick,free-form,codegen,Simple Melody,C,major,1.129,,,major,,1.0,2.5881,3.6726,,0.625,0.9016,1.667,0.8222,3.8125,2,1,1.04,90.0,0,0.0,1.0,4.444,1.0,0.9003,14.0,28.0,120.0,20,8.0,1.25,1,0.507,happy/excited
opus-4.8,free-form,codegen,Quiet Persistence,D,minor,1.032,,,minor,,0.9371,2.8341,3.8779,,0.6146,0.9651,1.818,0.9408,3.2812,3,2,4.69,46.0,21,0.0,1.0,9.095,0.5,1.2623,21.0,39.0,120.0,147,24.0,3.06,-1,0.688,angry/tense
gpt-5.5,free-form,codegen,A Lantern Made of Questions,E,minor,1.316,,,minor,,0.9523,2.9355,4.912,,0.4218,0.8539,2.355,0.9617,5.2969,5,4,10.8,74.8,93,0.0,1.0,14.447,0.5933,1.452,38.0,53.0,120.0,583,64.0,4.55,-1,0.782,angry/tense
