model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
sonnet-4.6-thinking,free-form,abc,Wondering,A,minor,1.488,A,minor,minor,1,0.9595,2.8359,4.0091,,0.6518,0.837,1.871,0.9665,1.9676,2,0.0,0.9992,11.959,0.8333,1.1265,20.0,29.0,72.0,173,80.0,1.8,-1,0.3,sad/depressed
sonnet-4.6-thinking,free-form,abc,Wandering Light,D,minor,1.347,D,minor,minor,1,1.0,2.7785,3.961,,0.64,0.804,2.581,0.9649,1.9989,2,0.0,0.9985,9.656,1.0,1.1773,18.0,31.0,63.0,181,121.9,1.41,-1,0.212,sad/depressed
sonnet-4.6-thinking,free-form,abc,Threshold,D,minor,0.994,D,minor,minor,1,1.0,2.687,3.7666,,0.6224,0.8384,2.0,0.9595,1.9758,2,0.0,0.9991,11.289,1.2653,1.2653,17.0,29.0,76.0,153,101.1,1.2,-1,0.261,sad/depressed
sonnet-4.6-thinking,free-form,abc,Through Glass,D,minor,1.679,D,minor,minor,1,0.9427,2.7928,3.9641,,0.7647,0.9363,2.097,0.9539,1.999,2,0.0,0.9985,16.135,0.9406,1.5322,21.0,33.0,72.0,157,80.0,1.64,-1,0.284,sad/depressed
sonnet-4.6-thinking,free-form,abc,Reverie in D Minor,D,minor,1.364,D,minor,minor,1,0.9942,2.7213,3.7535,,0.6923,0.9103,2.774,0.9782,1.9987,2,0.0,0.9992,17.404,0.8017,1.3964,18.0,33.0,60.0,172,96.0,1.79,-1,0.234,sad/depressed
sonnet-4.6-thinking,free-form,abc,Wandering Light,D,minor,1.234,D,minor,minor,1,0.9384,2.967,4.4008,,0.7154,0.813,2.128,0.9713,1.9994,2,0.0,0.9993,18.324,0.959,1.0421,27.0,36.0,80.0,211,90.0,1.76,-1,0.339,sad/depressed
sonnet-4.6-thinking,free-form,abc,Liminal,D,minor,1.157,D,minor,minor,1,0.9846,2.8246,4.3264,,0.7293,0.8835,2.137,0.9713,2.5626,2,0.0,0.9981,15.958,0.8141,1.3198,26.0,39.0,68.0,207,137.6,1.33,-1,0.231,sad/depressed
sonnet-4.6-thinking,free-form,abc,Quiet Emergence,D,minor,1.409,D,minor,minor,1,0.9936,2.7601,4.0469,,0.7206,0.8098,1.6,0.971,2.3456,3,0.0,0.9987,11.154,1.4189,1.4042,20.0,33.0,72.0,157,90.0,1.45,-1,0.265,sad/depressed
sonnet-4.6-thinking,free-form,abc,Vespers in Three,D,minor,0.958,D,minor,minor,1,0.9924,2.769,3.7894,,0.7826,0.9493,2.2,0.9772,1.9999,2,0.0,0.9986,13.725,1.5441,1.313,16.0,26.0,66.0,132,98.2,1.22,-1,0.209,sad/depressed
sonnet-4.6-thinking,free-form,abc,Threshold,D,minor,1.512,D,minor,minor,1,0.9416,2.9338,4.0511,,0.6966,0.9382,2.359,0.9636,1.9996,2,0.0,0.999,21.098,1.3295,1.1845,22.0,38.0,66.0,154,109.1,1.28,-1,0.216,sad/depressed
sonnet-4.6-thinking,free-form,abc,Between Knowing and Wondering,D,minor,1.146,D,minor,minor,1,0.98,2.7649,3.5494,,0.7059,0.9493,1.935,0.9661,1.9681,2,0.0,0.9994,17.939,1.7971,1.3205,14.0,38.0,66.0,100,116.4,0.78,-1,0.165,sad/depressed
sonnet-4.6-thinking,free-form,abc,Between Questions,C,major,0.896,G,major,major,1,1.0,2.7524,3.7227,,0.5571,0.7746,1.188,0.9948,2.9378,3,0.0,0.9989,8.26,1.3676,1.0565,18.0,31.0,80.0,173,74.2,1.75,1,0.338,serene/content
sonnet-4.6-thinking,free-form,abc,Becoming,A,minor,0.857,A,minor,minor,1,0.9638,2.7865,4.0717,,0.675,0.925,1.742,0.9648,1.9995,2,0.0,0.998,16.964,1.1772,0.9981,22.0,39.0,60.0,138,96.0,1.44,-1,0.198,sad/depressed
sonnet-4.6-thinking,free-form,abc,Threshold,D,minor,1.304,C,major,major,0,1.0,2.7485,4.0537,,0.4675,0.7662,1.833,0.9584,2.9993,3,0.0,0.999,11.887,1.2267,1.1683,19.0,35.0,66.0,163,90.9,1.63,1,0.25,serene/content
sonnet-4.6-thinking,free-form,abc,Emergence,D,minor,0.866,A,minor,minor,1,0.9695,2.826,4.1074,,0.7179,0.8903,2.057,0.9574,1.9715,2,0.0,0.9994,14.816,0.8898,0.9937,23.0,35.0,66.0,197,98.2,1.82,-1,0.27,sad/depressed
sonnet-4.6-thinking,free-form,abc,Emergence,D,minor,1.337,D,minor,minor,1,1.0,2.4394,3.929,,0.6429,0.9674,1.105,0.9834,1.823,2,0.0,1.0,17.186,1.0,0.7644,21.0,41.0,76.0,179,94.7,1.49,-1,0.291,sad/depressed
sonnet-4.6-thinking,free-form,abc,Threads of Thought,D,minor,1.535,D,minor,minor,1,1.0,2.698,3.6092,,0.6465,0.8687,2.387,0.9826,1.9987,2,0.0,0.9974,16.935,0.949,1.1972,15.0,32.0,72.0,140,80.0,1.46,-1,0.266,sad/depressed
sonnet-4.6-thinking,free-form,abc,Emergence,D,minor,1.262,D,minor,minor,1,0.9583,2.7735,3.9948,,0.5472,0.8971,2.062,0.9685,2.8881,2,0.0,0.999,9.952,0.9185,1.6337,20.0,32.0,66.0,139,120.0,1.05,-1,0.193,sad/depressed
sonnet-4.6-thinking,free-form,abc,Nascent Light,A,minor,0.84,A,minor,minor,1,0.9929,2.5718,3.7784,,0.6957,0.9662,1.231,0.9773,1.8749,2,0.0,0.9987,19.194,1.5,1.2899,20.0,35.0,80.0,140,90.0,1.17,-1,0.28,sad/depressed
sonnet-4.6-thinking,free-form,abc,Contemplation in Passing,A,minor,0.979,A,minor,minor,1,1.0,2.5158,3.7921,,0.701,0.9086,1.226,0.9838,1.9682,2,0.0,0.9997,14.046,0.9394,0.7015,20.0,33.0,72.0,174,80.0,1.81,-1,0.301,sad/depressed
sonnet-4.6-thinking,free-form,abc,Recursive Dreaming,D,minor,0.901,D,minor,minor,1,0.9888,2.7395,3.9009,,0.7387,0.9251,1.692,0.9606,1.9369,2,0.0,0.9994,21.022,1.3565,1.2769,18.0,41.0,72.0,179,133.3,1.12,-1,0.232,sad/depressed
sonnet-4.6-thinking,free-form,abc,Liminal,D,minor,1.158,D,minor,minor,1,1.0,2.6881,3.9809,,0.7193,0.8799,3.0,0.9783,2.6105,2,0.0,0.9977,13.875,0.5314,1.4651,21.0,36.0,60.0,179,96.0,1.86,-1,0.241,sad/depressed
sonnet-4.6-thinking,free-form,abc,Reverie,A,minor,1.11,A,minor,minor,1,1.0,2.6391,3.6735,,0.7654,0.9259,2.586,0.9861,1.9994,2,0.0,0.9975,16.548,1.0875,1.1481,15.0,33.0,63.0,136,85.7,1.51,-1,0.222,sad/depressed
sonnet-4.6-thinking,free-form,abc,Threshold,A,minor,0.914,A,minor,minor,1,1.0,2.7078,3.7089,,0.7143,0.8701,2.174,0.8978,1.9993,2,0.0,0.9993,13.4,1.2105,1.0981,15.0,29.0,66.0,121,87.3,1.26,-1,0.213,sad/depressed
sonnet-4.6-thinking,free-form,abc,On Wonder,D,minor,1.335,D,minor,minor,1,1.0,2.6604,3.704,,0.7426,0.9197,1.935,0.9828,2.5687,2,0.0,0.9981,9.357,0.5636,1.222,18.0,29.0,60.0,160,96.0,1.67,-1,0.221,sad/depressed
sonnet-4.6-thinking,free-form,abc,Interstitial Light,A,minor,0.971,A,minor,minor,1,0.9905,2.7019,3.917,,0.6667,0.8333,2.348,0.9379,1.9995,2,0.0,0.999,21.192,1.4839,1.209,20.0,39.0,72.0,105,80.0,1.09,-1,0.229,sad/depressed
sonnet-4.6-thinking,free-form,abc,Emergence,D,minor,0.946,A,minor,minor,1,0.9896,2.8355,3.7411,,0.6186,0.6639,1.957,0.9275,1.9834,2,0.0,0.999,5.471,0.7731,1.3294,19.0,29.0,76.0,192,75.8,2.0,-1,0.342,sad/depressed
sonnet-4.6-thinking,free-form,abc,Emergence,D,minor,1.297,D,minor,minor,1,1.0,2.702,3.9334,,0.6729,0.8972,1.907,0.9743,1.9996,2,0.0,0.9979,22.434,1.217,1.1339,19.0,41.0,72.0,190,110.0,1.44,-1,0.264,sad/depressed
sonnet-4.6-thinking,free-form,abc,Emergence,D,minor,1.13,D,minor,minor,1,0.9855,2.7805,4.0462,,0.6923,0.8231,1.692,0.9745,1.9991,2,0.0,0.9976,15.825,0.907,1.4099,22.0,36.0,80.0,207,90.0,1.73,-1,0.336,sad/depressed
sonnet-4.6-thinking,free-form,abc,Emergence,A,minor,1.118,A,minor,minor,1,1.0,2.5304,3.8594,,0.7563,0.9174,1.804,0.99,1.9547,2,0.0,0.999,14.268,1.2541,1.2194,22.0,36.0,66.0,210,141.8,1.35,-1,0.222,sad/depressed
