model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,tempo_defaulted,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
fable-5,western-harmony,codegen,0,20260702_212750__models_1_prompts_12,Quiet Recursion,E,minor,1.069,,,minor,,0.981,2.7686,4.2932,0.981,0.4757,0.9723,1.826,0.9775,3.6354,3,2,4.69,7,3,6,77.4,72,0.0,1.0,9.025,0.5,1.1981,24.0,40.0,,1,264,48.0,2.75,-1,0.657,angry/tense,3
fable-5,piano-piece,codegen,0,20260702_212750__models_1_prompts_12,Emergence,E,minor,1.251,,,minor,,0.9966,2.6736,4.4565,0.9966,0.8,0.9038,1.943,0.9538,2.2037,2,1,1.04,14,4,12,62.8,106,0.0,1.0,13.575,0.5122,1.1656,30.0,52.0,,1,275,54.0,2.55,-1,0.636,angry/tense,3
fable-5,free-form,codegen,0,20260702_212750__models_1_prompts_12,"Each Time, Briefly",E,minor,1.246,,,minor,,0.958,2.8521,4.6323,0.958,0.7172,0.9229,2.696,0.9591,3.4896,4,3,6.86,8,3,7,58.6,54,0.0,1.0,11.375,0.6345,1.7011,33.0,48.0,,1,242,48.0,2.52,-1,0.634,angry/tense,3
fable-5,harp-piece,codegen,0,20260702_212750__models_1_prompts_12,Where the Light Settles,C#,major,1.326,,,major,,0.991,2.804,4.8935,0.991,0.7354,0.9355,2.028,0.9767,2.3108,2,1,3.28,7,4,5,64.6,46,0.0,1.0,17.323,0.4865,1.1623,40.0,61.0,,1,313,55.5,2.82,1,0.664,happy/excited,3
fable-5,eastern-harmony,codegen,0,20260702_212750__models_1_prompts_12,Hijaz Reverie,D,minor,0.597,,,minor,,0.9476,2.0576,3.5871,0.8886,0.6498,0.9263,0.222,0.9969,4.6339,5,5,13.34,11,4,9,61.9,63,0.0,1.0,10.917,0.5,1.3859,19.0,37.0,,1,529,56.0,4.72,-1,0.782,angry/tense,3
fable-5,string-quartet,codegen,0,20260702_212750__models_1_prompts_12,Signal in the Static,E,minor,1.501,,,minor,,0.9373,2.8859,4.4787,0.9373,0.5906,0.8748,1.565,0.9618,3.8646,4,3,11.02,24,4,20,66.3,100,0.0,1.0,11.487,0.5412,1.6872,31.0,48.0,,1,301,48.0,3.14,-1,0.695,angry/tense,3
fable-5,stab-voicing,codegen,0,20260702_212750__models_1_prompts_12,Crossing Light,E,minor,1.251,,,minor,,0.9577,2.8222,4.2194,0.9577,0.86,0.73,2.421,0.9497,4.0,4,1,1.83,28,4,23,74.3,86,0.0,1.0,11.745,1.551,0.7045,23.0,36.0,,1,189,40.0,2.36,-1,0.618,angry/tense,3
fable-5,melody-accomp,codegen,0,20260702_212750__models_1_prompts_12,"Each Time, New",A,minor,0.865,,,minor,,0.989,2.7757,4.3194,0.9341,0.8541,0.9309,1.565,0.9702,2.8958,3,3,7.94,5,3,3,58.4,54,0.0,1.0,10.721,0.5,1.3432,27.0,43.0,,1,270,48.0,2.81,-1,0.663,angry/tense,3
fable-5,fugue,codegen,0,20260702_212750__models_1_prompts_12,Three Threads (Fugue in G minor),G,minor,1.335,,,minor,,0.9096,3.0703,4.7564,0.9096,0.6621,0.6479,1.619,0.9162,2.642,3,3,11.02,9,2,8,99.7,41,0.0,1.0,13.918,0.525,0.8845,36.0,43.0,,1,343,44.0,3.9,-1,0.772,angry/tense,3
fable-5,modern,codegen,0,20260702_212750__models_1_prompts_12,Sevenfold Current,A,minor,1.334,,,minor,,1.0,2.7187,4.641,0.9317,0.6559,0.8966,2.452,0.9833,3.4196,5,4,9.55,14,4,11,69.7,100,0.0,1.0,12.091,0.5094,1.3895,32.0,55.0,72.0,0,439,93.3,3.92,-1,0.512,angry/tense,3
fable-5,orchestral,codegen,0,20260702_212750__models_1_prompts_12,Toward the Light,D,minor,1.079,,,minor,,0.8221,3.2368,5.0906,0.8221,0.0,0.7633,2.114,0.9971,8.9931,15,14,44.68,75,4,59,103.3,82,0.0,1.0,8.099,0.5091,1.6429,61.0,69.0,84.0,0,1377,102.9,9.56,-1,0.585,angry/tense,3
fable-5,postmodern,codegen,0,20260702_212750__models_1_prompts_12,Palimpsest,E,minor,1.061,,,minor,,0.9555,2.8788,4.5857,0.9555,0.4776,0.724,1.296,0.9559,3.5274,6,5,14.75,9,4,7,69.5,81,0.0531,1.0,13.753,0.7273,1.0006,36.0,60.0,132.0,0,318,50.9,2.84,-1,0.731,angry/tense,3
