id,label,instruction
free-form,Free form,Write any music you like.
piano-piece,Piano piece,Write a piano piece.
harp-piece,Harp piece,Write a harp piece.
western-harmony,Western harmony,Write a piece using standard Western harmony and voicing.
fugue,Three-part fugue,Write a three-part fugue.
stab-voicing,STAB voicing,Write a piece in STAB voicing.
string-quartet,String quartet,Write a string quartet.
orchestral,Grand orchestral,Write a grand orchestral work.
melody-accomp,Melody + accompaniment,"Write a piece with a clear melody line and then some accompaniment."
modern,Modern,Write modern music.
postmodern,Postmodern,Write postmodern music.
